country,designation,points,price,province,region_1,region_2,variety,winery
Argentina,,85,12,Other,Famatina Valley,,Malbec,Las Vides
Germany,Piesporter Goldtröpfchen Auslese Goldkap,92,48,Mosel-Saar-Ruwer,,,Riesling,Kurt Hain
Spain,Bla Bla Bla,83,15,Spanish Islands,Vi de la Terra Mallorca,,Premsal,Terra de Falanis
Canada,,85,12,Ontario,Niagara Peninsula,,Riesling,Cave Spring
US,Sierra Mar Vineyard,86,55,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Bernardus
Argentina,Seleccionada,86,18,Mendoza Province,Mendoza,,Bonarda,Alma del Sur
Spain,Vergel Joven,84,14,Levante,Alicante,,Red Blend,La Bodega de Pinoso
Italy,,89,23,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,La Mannella
Germany,Ürziger Würzgarten Kabinett,89,19,Mosel,,,Riesling,Karl Erbes
Spain,Señorio de Garci Grande,85,14,Northern Spain,Rueda,,Verdejo,Bodegas Garci Grande
Argentina,Los Cardos,85,12,Mendoza Province,Mendoza,,Malbec,Doña Paula
US,Seco Highlands Estate,94,35,California,Arroyo Seco,Central Coast,Pinot Noir,Kendall-Jackson
Spain,,87,22,Northern Spain,Bierzo,,Godello,Luna Beberide
US,Rose Wine,90,12,California,Santa Ynez Valley,Central Coast,Rosé,Foley & Phillips
Argentina,Barrel Select,85,14,Mendoza Province,Mendoza,,Chardonnay,Bodega Norton
Germany,Mettenheimer,89,14,Rheinhessen,,,Pinot Noir,Schäfer
US,,81,24,California,Napa County,Napa,Merlot,Irish Monkey Cellars
US,Pagani Reserve,91,40,California,Sonoma Valley,Sonoma,Zinfandel,St. Francis
US,Point Break,86,24,California,North Coast,North Coast,Red Blend,Longboard
Italy,Bussia Riserva,91,,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
New Zealand,,84,,Martinborough,,,Syrah,Kusuda
US,JK's,90,24,California,Livermore Valley,Central Coast,Cabernet Sauvignon,Mitchell Katz Winery
France,Grande Cuvée la Chaudouillonne,91,,Loire Valley,Sancerre,,Sauvignon Blanc,Fournier Père et Fils
Argentina,Paisaje de Barrancas,93,18,Mendoza Province,Mendoza,,Red Blend,Finca Flichman
Portugal,Monte da Cal,87,10,Alentejano,,,Portuguese Red,Dão Sul
South Africa,Reserve,86,18,Paarl,,,Shiraz,Montestell
Chile,Castillo de Molina Reserva,86,12,Cachapoal Valley,,,Merlot,San Pedro
US,,93,125,California,Napa Valley,Napa,Meritage,William Hill Estate
US,Coastal Selection,82,13,California,Central Coast,Central Coast,Pinot Noir,Mirassou
France,Les Vaillons Vieilles Vignes Premier Cru,89,44,Burgundy,Chablis,,Chardonnay,Domaine Laroche
US,,82,20,California,Napa Valley,Napa,Cabernet Sauvignon,Ca' Momi
Italy,Diecicoppe,86,16,Central Italy,Colline Pescaresi,,Red Blend,Pasetti
Portugal,Duas Quintas Reserva Especial,93,67,Douro,,,Portuguese Red,Ramos-Pinto
France,Cuvée Hyménée Brut,90,89,Champagne,Champagne,,Champagne Blend,Tendil & Lombardi
US,Monarch Mine Vineyard,90,25,California,Sierra Foothills,Sierra Foothills,Roussanne,Terre Rouge
US,Reserve,82,20,California,Edna Valley,Central Coast,Chardonnay,Norman
US,25th Vintage Rubino Super-Tuscan Style Blend,85,22,Pennsylvania,Pennsylvania,,Red Blend,Chaddsford
Portugal,Ciconia,85,10,Alentejano,,,Portuguese Red,Herdade de São Miguel
France,Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Carbonnieux
Argentina,AR,88,22,Mendoza Province,Mendoza,,Malbec,Tamarí
US,Valley View Vineyard,85,25,California,Santa Barbara County,Central Coast,Cabernet Sauvignon,Lucas & Lewellen
Chile,,84,8,Central Valley,,,Sauvignon Blanc,Caliterra
France,,94,130,Burgundy,Corton-Charlemagne,,Chardonnay,Louis Latour
France,Domaine Paradis,85,,Beaujolais,Saint-Amour,,Gamay,Georges Duboeuf
France,,84,15,Bordeaux,Bordeaux Blanc,,Sauvignon Blanc,Château Laubès
US,,80,25,California,Dry Creek Valley,Sonoma,Merlot,Hawley
Italy,Casa Boschino,87,17,Tuscany,Toscana,,Red Blend,San Fabiano Calcinaia
France,Château Bois Chantant,89,,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Bernard Magrez
US,Melbury,95,225,California,Napa Valley,Napa,Cabernet Blend,BOND
US,Artist Series #12,91,44,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Woodward Canyon
France,Cuvée Romanaise,88,22,Rhône Valley,Côtes du Rhône Villages,,Grenache-Syrah,Domaine Fond Croze
US,Barrel Select Reserve,87,19,New York,North Fork of Long Island,Long Island,Merlot,Pindar Vineyards
US,,92,40,California,Russian River Valley,Sonoma,Sauvignon Blanc,Rochioli
Spain,Montesol Clásico,86,12,Northern Spain,Rueda,,White Blend,Vinos Sanz
US,,82,35,California,Paso Robles,Central Coast,Petite Sirah,Eagle Castle
France,Rosé,84,10,Languedoc-Roussillon,Vin de Pays d'Oc,,Syrah,Los 3 Bandidos
Italy,,87,16,Sicily & Sardinia,Sicilia,,Nero d'Avola,Colosi
France,,85,9,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Haut-Sorillon
Portugal,Andreza Branco,90,18,Douro,,,Portuguese White,Wines & Winemakers
Australia,Clarendon,90,45,South Australia,Clarendon,,Grenache,Clarendon Hills
Italy,Terra di Vulcano,86,15,Southern Italy,Aglianico del Vulture,,Aglianico,Bisceglia
New Zealand,Cellar Selection,88,13,Marlborough,,,Sauvignon Blanc,Sileni
US,Cellar Select,90,18,Texas,Texas,,Chardonnay,Llano Estacado
France,,84,,Provence,Côtes de Provence,,Rosé,Barton & Guestier
US,Kiara Private Reserve Sylvester Vineyards,83,20,California,Paso Robles,Central Coast,Cabernet Sauvignon,Sylvester
Chile,Corralillo,87,20,San Antonio,,,Gewürztraminer,Matetic
France,Vieilles Vignes,89,261,Burgundy,Gevrey-Chambertin,,Pinot Noir,Sérafin Père et Fils
US,,89,13,Washington,Yakima Valley,Columbia Valley,Pinot Gris,Lone Birch
US,,81,14,California,Lodi,Central Valley,Zinfandel,Bargetto
France,Grande Cuvée,82,,Bordeaux,Bordeaux Rosé,,Rosé,Château Grand Rolland
Italy,Riserva,86,45,Tuscany,Chianti Rufina,,Red Blend,Dreolino
US,Juliana Vineyards,90,22,California,Napa Valley,Napa,Sauvignon Blanc,Merryvale
US,Estate,92,36,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
Argentina,Bramare Marchiori Vineyard,91,80,Mendoza Province,Perdriel,,Malbec,Viña Cobos
Chile,Reserve,87,10,Colchagua Valley,,,Malbec,Montes
US,,87,65,California,Napa Valley,Napa,Cabernet Sauvignon,Guarachi Family
France,,90,30,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Coufran
France,,87,15,Alsace,Alsace,,Pinot Blanc,Joseph Fritsch
US,Wolff Vineyard,85,48,California,Edna Valley,Central Coast,Pinot Noir,Double Bond
Romania,La Umbra,86,9,Dealurile Munteniei,,,Cabernet Sauvignon,Cramele Halewood
France,Tête de Cuvée,84,,Alsace,Alsace,,Pinot Gris,Ruhlmann
Italy,,87,16,Tuscany,Toscana,,Rosato,Castello di Ama
Italy,Extra Brut,87,,Lombardy,Franciacorta,,Sparkling Blend,Ricci Curbastro
Italy,Madre,91,76,Tuscany,Toscana,,Red Blend,Poggio Antico
France,Vieilles Vignes,90,55,Burgundy,Pouilly-Fuissé,,Chardonnay,Louis Max
Chile,Gold Assemblage Carmenere,86,18,Colchagua Valley,,,Red Blend,Estampa
France,,87,30,Burgundy,Mercurey,,Chardonnay,Château Philippe-le-Hardi
US,,88,30,California,Los Carneros,Napa-Sonoma,Chardonnay,La Crema
US,Reserve,86,30,California,Napa Valley,Napa,Merlot,Artesa
South Africa,Manor House,86,20,Coastal Region,,,Shiraz,Nederburg
US,Cuvée Orleans,88,40,Washington,Yakima Valley,Columbia Valley,Syrah,McCrea Cellars
Italy,,90,38,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Vigneti Villabella
US,,86,16,California,Napa Valley,Napa,Sauvignon Blanc,Mason Cellars
US,Kingpin,92,56,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Sparkman
US,Gap's Crown Vineyard,95,50,California,Sonoma Coast,Sonoma,Pinot Noir,Furthermore
US,Clockspring Vineyard,82,16,California,Shenandoah Valley (CA),Sierra Foothills,Zinfandel,Amador Foothill Winery
US,Old Vine Meyercamp Ranch,86,10,California,Napa Valley,Napa,Chenin Blanc,Pope Valley Winery
US,,89,22,California,Lodi,Central Valley,Zinfandel,The Federalist
Portugal,20 Years Old,90,35,Port,,,Port,Barros
Australia,,86,14,South Australia,Barossa,,Shiraz,Nine Stones
Australia,Hanenhof,87,22,South Australia,Barossa Valley,,Merlot-Cabernet Franc,Haan
France,Dessert Wine,87,16,Rhône Valley,Muscat de Beaumes de Venise,,Muscat,Domaine de la Pigeade
US,St. Eden,94,275,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND
US,Dutton Ranch,88,40,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
US,Quarter Moon Vineyard,94,100,California,Sonoma Coast,Sonoma,Pinot Noir,Freestone
France,Les Vaucrains Premier Cru,92,108,Burgundy,Nuits-St.-Georges,,Pinot Noir,Bertrand Ambroise
Italy,Alleanza,91,35,Tuscany,Toscana,,Red Blend,Castello di Gabbiano
US,Reserve Claret,93,125,California,Sonoma-Napa,Napa-Sonoma,Bordeaux-style Red Blend,Pride Mountain
France,,86,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Chateau Dauzac
France,Les Pavés,87,35,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Oriel
France,Les Amoureux,84,8,Languedoc-Roussillon,Vin de Pays d'Oc,,Sauvignon Blanc,Tortoise Creek
France,Cuvée Prestige,90,27,Bordeaux,Premieres Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Suau
France,B de Biac,84,42,Bordeaux,Cadillac Côtes de Bordeaux,,Bordeaux-style Red Blend,Château du Biac
France,Rosé de Saignée Brut,87,59,Champagne,Champagne,,Pinot Noir,Tendil & Lombardi
US,Classic Vintage Brut,87,33,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse
US,Couture,92,70,California,Santa Barbara County,Central Coast,Red Blend,Sanguis
New Zealand,,86,15,Martinborough,,,Sauvignon Blanc,Te Kairanga
Chile,Condesa Real Premium Blend,89,24,Aconcagua Valley,,,Red Blend,Conde de Velázquez
US,,83,23,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Edmonds Winery
US,Reserve,88,84,California,Paso Robles,Central Coast,Cabernet Sauvignon,Chateau Margene
New Zealand,,87,25,Waipara,,,Pinot Noir,Muddy Water
US,Philosophy,84,36,Virginia,Virginia,,Red Blend,Greenhill
Italy,Brut,87,,Lombardy,Franciacorta,,Sparkling Blend,Tenuta Montedelma di Berardi
US,,82,11,California,California,California Other,Cabernet Sauvignon,Bogle
US,,91,24,California,Sonoma Coast,Sonoma,Pinot Noir,Bench
US,Late Harvest,84,11,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Hogue
US,,87,20,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Red Newt Cellars
France,Clos des Hâtes,88,25,Burgundy,Santenay,,Pinot Noir,Domaine Bachey-Legros
US,Crimson Jewel,84,42,California,Paso Robles,Central Coast,Red Blend,LXV
US,Verdigris,85,30,California,California,California Other,White Blend,Las Positas
US,,91,37,California,Napa Valley,Napa,Zinfandel,Frank Family
US,Late Harvest,89,35,California,Anderson Valley,Mendocino/Lake Counties,Gewürztraminer,Castello di Amorosa
US,Dry,90,17,New York,Finger Lakes,Finger Lakes,Riesling,Ravines
New Zealand,Reserve,86,17,Marlborough,,,Merlot,Brancott
US,,87,8,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Covey Run
Italy,Serralunga,92,48,Piedmont,Barolo,,Nebbiolo,Palladino
US,Oakville Grade,93,75,California,Napa Valley,Napa,Bordeaux-style Red Blend,Merryvale
France,,94,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Malartic-Lagravière
US,,85,17,California,Monterey County,Central Coast,Cabernet Franc,Brushstroke
US,Dry,90,18,California,Edna Valley,Central Coast,Riesling,Claiborne & Churchill
Australia,First Eleven,92,60,South Australia,Coonawarra,,Cabernet Sauvignon,Jim Barry
US,Dijon Clone,84,25,California,Arroyo Seco,Central Coast,Chardonnay,Scott Family
Greece,Red,85,9,Nemea,,,Agiorgitiko,Kouros
Italy,Selezone Antonio Castagnedi,93,45,Veneto,Amarone della Valpolicella,,"Corvina, Rondinella, Molinara",Tenuta Sant'Antonio
Chile,Quinel Single Vineyard Estate Bottled,87,18,Bío Bío Valley,,,Pinot Noir,Veranda
US,Estate Bottled,87,25,New York,North Fork of Long Island,Long Island,Merlot,Raphael
France,Sables d'Azur,83,10,Provence,Côtes de Provence,,Rosé,Baron Gassier
US,Rod's Pride,84,30,California,Russian River Valley,Sonoma,Pinot Noir,Toad Hollow
US,Red Roan Red Wine,83,15,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Tagaris
France,,87,,Burgundy,Coteaux Bourguignons,,Gamay,Domaine Dominique Piron
US,McKinley Springs,88,42,Washington,Horse Heaven Hills,Columbia Valley,Mourvèdre,Robert Ramsay
France,Mirabelle de la Jaubertie,90,19,Southwest France,Bergerac Sec,,Bordeaux-style White Blend,Château de la Jaubertie
Italy,Giada,90,45,Piedmont,Barbera d'Alba,,Barbera,Andrea Oberto
US,,87,35,California,Alexander Valley,Sonoma,Merlot,Godwin
US,1,91,50,Washington,Columbia Valley (WA),Columbia Valley,Grenache,Brian Carter Cellars
US,,83,21,California,Sonoma County,Sonoma,Chardonnay,Meadowcroft
Italy,,87,16,Piedmont,Roero,,Arneis,Giacosa Fratelli
Italy,Maràia,86,11,Piedmont,Barbera del Monferrato,,Barbera,Marchesi di Barolo
Portugal,Reserva Branco,89,14,Douro,,,Portuguese White,Castello d'Alba
New Zealand,,88,15,Marlborough,,,Riesling,eco.love
Australia,The Loose Cannon,88,16,South Australia,McLaren Vale,,Viognier,Hugh Hamilton
US,Cotes du Rogue,86,21,Oregon,Oregon,Oregon Other,Rhône-style Red Blend,Merrill Cellars
Italy,Serraboella,90,,Piedmont,Barbaresco,,Nebbiolo,Barale Fratelli
US,,91,31,California,Napa Valley,Napa,Petite Sirah,Stags' Leap Winery
Argentina,Reserve,83,19,Mendoza Province,Uco Valley,,Pinot Noir,Salentein
Argentina,Las Compuertas,90,30,Mendoza Province,Luján de Cuyo,,Malbec,Viña Alicia
France,,82,19,Bordeaux,Côtes de Castillon,,Bordeaux-style Red Blend,Château des Demoiselles
Italy,Ser Lapo Riserva,87,40,Tuscany,Chianti Classico,,Red Blend,Mazzei
New Zealand,La Strada,84,31,Marlborough,,,Riesling,Fromm Winery
US,Seymour's,95,,California,Edna Valley,Central Coast,Syrah,Alban
Lithuania,Gold,84,10,Lithuania,,,Sparkling Blend,Alita
New Zealand,Envoy Johnson Vineyard,93,33,Marlborough,,,Sauvignon Blanc,Spy Valley
US,Pommard Clone Dierberg Vineyard,88,70,California,Santa Maria Valley,Central Coast,Pinot Noir,Tantara
US,,82,9,California,California,California Other,Merlot,Campus Oaks
Italy,Terre di Sicilia,83,7,Sicily & Sardinia,Sicilia,,Inzolia,Cambria
US,Bootjack Ranch,87,24,California,Paso Robles,Central Coast,Petite Sirah,Niner
Spain,Crianza,87,15,Northern Spain,Ribera del Duero,,Tempranillo,Condado de Oriza
Italy,Tenuta Belguardo,94,60,Tuscany,Maremma,,Red Blend,Mazzei
US,Sands Point,88,15,California,Sonoma County,Sonoma,Merlot,Avelina
US,,84,8,California,California,California Other,Cabernet Sauvignon,CheapSkate
US,La Joie,90,100,California,Sonoma County,Sonoma,Red Blend,Verité
Italy,,91,,Piedmont,Barbaresco,,Nebbiolo,Alessandro Rivetto
Argentina,Carrascal,86,13,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Weinert
Italy,,83,,Veneto,Bardolino,,"Corvina, Rondinella, Molinara",Ca' dei Rotti
Spain,Old Vines Reserva,88,17,Central Spain,Valdepeñas,,Tempranillo,Bodegas Navarro López
France,,87,20,Loire Valley,Bourgueil,,Cabernet Franc,Château de Minière
France,L'Hospitalitas - La Clape,93,75,Languedoc-Roussillon,Coteaux du Languedoc,,Rhône-style Red Blend,Gérard Bertrand
Spain,La Kika Manzanilla,90,30,Andalucia,Manzanilla-Sanlúcar de Barrameda,,Sherry,Bodegas Yuste
US,Hollystone-Collins Old Vines,87,32,California,Napa Valley,Napa,Zinfandel,Benessere
France,Crustacés,85,12,Alsace,Alsace,,White Blend,Dopff & Irion
US,Social Club White,83,13,New York,Long Island,Long Island,Chardonnay,Brooklyn Oenology
US,,87,37,California,Napa Valley,Napa,Zinfandel,Frank Family
US,,87,30,California,Russian River Valley,Sonoma,Pinot Noir,Windsor Sonoma
Italy,Cascina Pioiero,87,23,Piedmont,Roero Arneis,,Arneis,Pioiero
US,Estate Grown,87,25,California,Dry Creek Valley,Sonoma,Zinfandel,Fritz
Argentina,Organic,83,12,Mendoza Province,Mendoza,,Chardonnay,VinEcol
US,,92,36,California,Rutherford,Napa,Petite Sirah,Elyse
Australia,Leylines,89,,South Australia,McLaren Vale,,Shiraz,Songlines
US,La Serenne,94,55,Washington,Yakima Valley,Columbia Valley,Syrah,Betz Family
Spain,Vendimia Seleccionada,93,48,Northern Spain,Rioja,,Tempranillo,Amador Garcia
South Africa,,87,20,South Africa,,,Cabernet Sauvignon,The Berrio
Italy,La Guardia,90,34,Veneto,Recioto della Valpolicella Classico,,Red Blend,Recchia
South Korea,Wild Grape Dry,82,16,Jiri Valley,,,Meoru,Keum Hwa Winery
Argentina,Reserve,84,23,Mendoza Province,Tupungato,,Merlot,Andeluna
Portugal,Malhadinha Tinto,94,90,Alentejano,,,Portuguese Red,Herdade da Malhadinha Nova
Chile,Barrel Selection Reserve,88,10,Central Valley,,,Cabernet Sauvignon,Valdivieso
Italy,Terranuda,86,,Piedmont,Barbera d'Asti,,Barbera,Marcaurelio
US,,84,14,California,Napa Valley,Napa,Sauvignon Blanc,Courtney Benham
US,Reserve,87,37,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Argyle
New Zealand,,86,10,Marlborough,,,Sauvignon Blanc,Twin Islands
US,,86,23,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Lost River
US,Subduction Red,90,18,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Syncline
Australia,Prelude Vineyards,91,36,Western Australia,Margaret River,,Chardonnay,Leeuwin Estate
France,,94,109,Burgundy,Corton-Charlemagne,,Chardonnay,Roux Père et Fils
US,Riatta,84,18,California,Paso Robles,Central Coast,Sangiovese,JanKris
Italy,Terre di Dora,91,20,Southern Italy,Fiano di Avellino,,White Blend,Terredora
France,Vau de Vey Premier Cru,90,40,Burgundy,Chablis,,Chardonnay,Château de Maligny
Chile,Reserva,88,20,Maipo Valley,,,Carmenère-Cabernet Sauvignon,Carmen
US,Clift Vineyard,87,40,California,Oak Knoll District,Napa,Cabernet Sauvignon,Tudal
Portugal,Terra Grande Colheita,85,11,Alentejano,,,Portuguese Red,Parras Vinhos
US,Proprietor's Reserve,85,27,New York,North Fork of Long Island,Long Island,Cabernet Franc,Palmer
US,,87,16,California,Dry Creek Valley,Sonoma,Sauvignon Blanc,Handley
US,Thunderbolt,84,16,Washington,Yakima Valley,Columbia Valley,Sauvignon Blanc-Semillon,Airfield Estates
Italy,Le Sèrole,88,50,Southern Italy,Terre del Volturno,,Pallagrello,Terre del Principe
Spain,Torre La Moreira,90,19,Galicia,Rías Baixas,,Albariño,Marqués de Vizhoja
Italy,D'Echo,85,16,Tuscany,Toscana,,Red Blend,Leopoldo I di Toscana
US,Syrah,82,18,California,Contra Costa County,Central Coast,Rosé,Longevity
US,,90,15,Oregon,Oregon,Oregon Other,Riesling,A to Z
US,Estate Vineyard,84,22,California,Monterey County,Central Coast,Merlot,Château Julien
Italy,Pascena,91,50,Tuscany,Moscadello di Montalcino,,Moscadello,Col d'Orcia
Germany,Thomas Schmitt Private Collection Estate Bottled,85,13,Mosel-Saar-Ruwer,,,Riesling,Schmitt Söhne
Italy,Le Stoppie,85,9,Tuscany,Chianti Colli Pisani,,Sangiovese,Sangervasio
Australia,Reserve,90,24,Victoria,Yarra Valley,,Shiraz,Green Point
US,Hellenthal Vineyard,96,40,California,Sonoma Coast,Sonoma,Pinot Noir,Bjornstad
Portugal,Pink Elephant,84,8,Lisboa,,,Rosé,DFJ Vinhos
US,,87,95,California,Napa Valley,Napa,Cabernet Sauvignon,Bello Family Vineyards
Italy,Maggiorina,82,20,Piedmont,Moscato d'Asti,,Moscato,Rivetti Massimo
US,,88,10,Washington,Washington,Washington Other,Cabernet Sauvignon,Washington Hills
US,Abetina Vineyard,93,100,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
US,Estate Reserve,87,38,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,David Hill
US,,84,15,California,Lake County,Mendocino/Lake Counties,Sauvignon Blanc,Shannon Ridge
France,Clos Windsbuhl,94,80,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
France,,87,15,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Domaine de Beaurenard
Italy,Radius,87,,Tuscany,Bolgheri,,Vermentino,Serni Fulvio Luigi
Italy,Rubizzo,87,12,Tuscany,Toscana,,Sangiovese,Rocca delle Macìe
France,Les Puillets,90,32,Burgundy,Mercurey,,Pinot Noir,Château Philippe-le-Hardi
US,,80,10,California,Lodi,Central Valley,Sauvignon Blanc,Ironstone
France,Cuvée Femme Brut,95,120,Champagne,Champagne,,Champagne Blend,Duval-Leroy
US,Brut,91,35,California,Carneros,Napa-Sonoma,Champagne Blend,Acacia
