Category_id,Video_id,Publish_Date,Trending_Date,Channel_Title,Description,Trend Day,Tag Count,Likes,Dislikes,Views,comment_disabled
1,V_1,29-11-2017,20-11-2017,CaseyNeistat,The Trump Presidency: Last Week Tonight with John Oliver (HBO),6,21,13342,6089,1978978,FALSE
2,V_2,09-11-2017,20-11-2017,LastWeekTonight,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",1,23,5761,3044,1487870,TRUE
3,V_3,23-11-2017,20-11-2017,Rudy Mancuso,Nickelback Lyrics: Real or Fake?,10,22,0,0,1502102,TRUE
4,V_4,07-11-2017,20-11-2017,Good Mythical Morning,I Dare You: GOING BALD!?,12,17,0,0,3519302,TRUE
5,V_5,05-11-2017,19-11-2017,nigahiga,2 Weeks with iPhone X,11,15,0,0,4835374,TRUE
6,V_6,03-11-2017,20-11-2017,iJustine,Roy Moore & Jeff Sessions Cold Open - SNL,10,9,8619,3697,1580238,TRUE
7,V_7,09-11-2017,18-11-2017,Saturday Night Live,5 Ice Cream Gadgets put to the Test,4,17,9951,937,1204461,FALSE
8,V_8,21-11-2017,19-11-2017,CrazyRussianHacker,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,9,14,18010,11026,2542878,TRUE
9,V_9,01-11-2017,15-11-2017,20th Century Fox,Why the rise of the robots wonâ€™t mean the end of work,8,20,12126,7855,1090597,TRUE
10,V_10,21-11-2017,15-11-2017,Vox,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,11,8,0,0,1407313,TRUE
11,V_11,09-11-2017,14-11-2017,NFL,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,6,21,11933,9200,1293021,TRUE
